Orthogroup	CRCR_fixednames	CRFI_fixednames
OG0000000	CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i10::g.46505::m.46505, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i11::g.46508::m.46508, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i12::g.46511::m.46511, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i13::g.46514::m.46514, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i15::g.46518::m.46518, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i17::g.46520::m.46520, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i18::g.46523::m.46523, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i1::g.46490::m.46490, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i2::g.46491::m.46491, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i3::g.46492::m.46492, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i4::g.46493::m.46493, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i6::g.46496::m.46496, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i7::g.46499::m.46499, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i9::g.46502::m.46502	CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i10::g.20037::m.20037, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i11::g.20040::m.20040, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i12::g.20043::m.20043, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i13::g.20046::m.20046, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i14::g.20049::m.20049, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i15::g.20052::m.20052, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i16::g.20055::m.20055, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i17::g.20058::m.20058, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i18::g.20061::m.20061, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i19::g.20064::m.20064, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i1::g.20010::m.20010, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i20::g.20067::m.20067, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i21::g.20070::m.20070, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i22::g.20073::m.20073, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i23::g.20076::m.20076, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i24::g.20079::m.20079, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i2::g.20013::m.20013, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i3::g.20016::m.20016, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i4::g.20019::m.20019, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i5::g.20022::m.20022, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i6::g.20025::m.20025, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i7::g.20028::m.20028, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i8::g.20031::m.20031, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i9::g.20034::m.20034
OG0000001	CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i10::g.46506::m.46506, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i11::g.46509::m.46509, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i12::g.46512::m.46512, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i13::g.46515::m.46515, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i17::g.46521::m.46521, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i18::g.46524::m.46524, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i4::g.46494::m.46494, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i6::g.46497::m.46497, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i7::g.46500::m.46500, CRCR_TRINITY_DN38636_c0_g1::TRINITY_DN38636_c0_g1_i9::g.46503::m.46503	CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i10::g.20038::m.20038, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i11::g.20041::m.20041, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i12::g.20044::m.20044, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i13::g.20047::m.20047, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i14::g.20050::m.20050, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i15::g.20053::m.20053, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i16::g.20056::m.20056, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i17::g.20059::m.20059, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i18::g.20062::m.20062, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i19::g.20065::m.20065, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i1::g.20011::m.20011, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i20::g.20068::m.20068, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i21::g.20071::m.20071, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i22::g.20074::m.20074, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i23::g.20077::m.20077, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i24::g.20080::m.20080, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i2::g.20014::m.20014, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i3::g.20017::m.20017, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i4::g.20020::m.20020, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i5::g.20023::m.20023, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i6::g.20026::m.20026, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i7::g.20029::m.20029, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i8::g.20032::m.20032, CRFI_TRINITYb_DN28020_c0_g1::TRINITYb_DN28020_c0_g1_i9::g.20035::m.20035
OG0000002	CRCR_TRINITY_DN10472_c0_g1::TRINITY_DN10472_c0_g1_i1::g.7784::m.7784, CRCR_TRINITY_DN110263_c0_g1::TRINITY_DN110263_c0_g1_i1::g.857::m.857, CRCR_TRINITY_DN17065_c0_g1::TRINITY_DN17065_c0_g1_i1::g.50572::m.50572, CRCR_TRINITY_DN21600_c0_g1::TRINITY_DN21600_c0_g1_i1::g.17061::m.17061, CRCR_TRINITY_DN24357_c0_g1::TRINITY_DN24357_c0_g1_i1::g.45541::m.45541, CRCR_TRINITY_DN26982_c0_g1::TRINITY_DN26982_c0_g1_i1::g.24277::m.24277, CRCR_TRINITY_DN26982_c0_g2::TRINITY_DN26982_c0_g2_i1::g.24278::m.24278, CRCR_TRINITY_DN30754_c1_g1::TRINITY_DN30754_c1_g1_i1::g.51853::m.51853, CRCR_TRINITY_DN30754_c1_g2::TRINITY_DN30754_c1_g2_i1::g.51855::m.51855, CRCR_TRINITY_DN30754_c2_g1::TRINITY_DN30754_c2_g1_i1::g.51857::m.51857, CRCR_TRINITY_DN33604_c0_g2::TRINITY_DN33604_c0_g2_i1::g.10270::m.10270, CRCR_TRINITY_DN33604_c0_g2::TRINITY_DN33604_c0_g2_i2::g.10272::m.10272, CRCR_TRINITY_DN33604_c0_g2::TRINITY_DN33604_c0_g2_i4::g.10273::m.10273, CRCR_TRINITY_DN33604_c0_g2::TRINITY_DN33604_c0_g2_i5::g.10274::m.10274, CRCR_TRINITY_DN39589_c2_g1::TRINITY_DN39589_c2_g1_i1::g.49618::m.49618, CRCR_TRINITY_DN46373_c2_g3::TRINITY_DN46373_c2_g3_i1::g.50119::m.50119, CRCR_TRINITY_DN46373_c2_g3::TRINITY_DN46373_c2_g3_i2::g.50121::m.50121, CRCR_TRINITY_DN46613_c1_g1::TRINITY_DN46613_c1_g1_i3::g.2359::m.2359, CRCR_TRINITY_DN6285_c0_g1::TRINITY_DN6285_c0_g1_i1::g.9339::m.9339, CRCR_TRINITY_DN6285_c0_g1::TRINITY_DN6285_c0_g1_i2::g.9340::m.9340, CRCR_TRINITY_DN66019_c0_g1::TRINITY_DN66019_c0_g1_i1::g.38974::m.38974, CRCR_TRINITY_DN83330_c0_g1::TRINITY_DN83330_c0_g1_i1::g.50020::m.50020, CRCR_TRINITY_DN84135_c0_g1::TRINITY_DN84135_c0_g1_i1::g.24914::m.24914	CRFI_TRINITYb_DN32660_c2_g26::TRINITYb_DN32660_c2_g26_i2::g.39554::m.39554, CRFI_TRINITYb_DN32916_c1_g2::TRINITYb_DN32916_c1_g2_i1::g.34963::m.34963, CRFI_TRINITYb_DN32916_c1_g3::TRINITYb_DN32916_c1_g3_i1::g.34965::m.34965, CRFI_TRINITYb_DN60731_c0_g1::TRINITYb_DN60731_c0_g1_i1::g.37187::m.37187, CRFI_TRINITYb_DN63011_c0_g1::TRINITYb_DN63011_c0_g1_i1::g.23553::m.23553
OG0000003	CRCR_TRINITY_DN100914_c0_g1::TRINITY_DN100914_c0_g1_i1::g.608::m.608, CRCR_TRINITY_DN104003_c0_g1::TRINITY_DN104003_c0_g1_i1::g.1074::m.1074, CRCR_TRINITY_DN17004_c0_g1::TRINITY_DN17004_c0_g1_i1::g.50569::m.50569, CRCR_TRINITY_DN23584_c0_g1::TRINITY_DN23584_c0_g1_i1::g.4108::m.4108, CRCR_TRINITY_DN31060_c1_g1::TRINITY_DN31060_c1_g1_i1::g.15991::m.15991, CRCR_TRINITY_DN40720_c5_g21::TRINITY_DN40720_c5_g21_i3::g.45967::m.45967, CRCR_TRINITY_DN40720_c5_g21::TRINITY_DN40720_c5_g21_i6::g.45968::m.45968, CRCR_TRINITY_DN40720_c5_g21::TRINITY_DN40720_c5_g21_i7::g.45969::m.45969, CRCR_TRINITY_DN40720_c5_g21::TRINITY_DN40720_c5_g21_i8::g.45970::m.45970, CRCR_TRINITY_DN45480_c13_g2::TRINITY_DN45480_c13_g2_i4::g.34689::m.34689, CRCR_TRINITY_DN45480_c13_g2::TRINITY_DN45480_c13_g2_i7::g.34693::m.34693, CRCR_TRINITY_DN45602_c1_g1::TRINITY_DN45602_c1_g1_i1::g.40862::m.40862, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i11::g.2385::m.2385, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i14::g.2389::m.2389, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i15::g.2390::m.2390, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i1::g.2376::m.2376, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i1::g.2379::m.2379, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i3::g.2380::m.2380, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i4::g.2381::m.2381, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i7::g.2382::m.2382, CRCR_TRINITY_DN46693_c1_g2::TRINITY_DN46693_c1_g2_i7::g.2384::m.2384, CRCR_TRINITY_DN48599_c0_g1::TRINITY_DN48599_c0_g1_i1::g.39503::m.39503, CRCR_TRINITY_DN71119_c0_g1::TRINITY_DN71119_c0_g1_i1::g.10948::m.10948, CRCR_TRINITY_DN71493_c0_g1::TRINITY_DN71493_c0_g1_i1::g.36030::m.36030	CRFI_TRINITYb_DN32865_c2_g3::TRINITYb_DN32865_c2_g3_i2::g.14657::m.14657, CRFI_TRINITYb_DN62104_c0_g1::TRINITYb_DN62104_c0_g1_i1::g.8176::m.8176, CRFI_TRINITYb_DN74597_c0_g1::TRINITYb_DN74597_c0_g1_i1::g.14478::m.14478
OG0000004	CRCR_TRINITY_DN24254_c0_g1::TRINITY_DN24254_c0_g1_i1::g.17742::m.17742	CRFI_TRINITYb_DN12514_c0_g1::TRINITYb_DN12514_c0_g1_i1::g.5354::m.5354, CRFI_TRINITYb_DN13365_c0_g1::TRINITYb_DN13365_c0_g1_i1::g.35318::m.35318, CRFI_TRINITYb_DN14891_c0_g1::TRINITYb_DN14891_c0_g1_i1::g.23610::m.23610, CRFI_TRINITYb_DN15051_c0_g4::TRINITYb_DN15051_c0_g4_i2::g.24954::m.24954, CRFI_TRINITYb_DN16866_c0_g3::TRINITYb_DN16866_c0_g3_i1::g.21820::m.21820, CRFI_TRINITYb_DN16981_c0_g1::TRINITYb_DN16981_c0_g1_i1::g.816::m.816, CRFI_TRINITYb_DN20244_c0_g1::TRINITYb_DN20244_c0_g1_i1::g.45455::m.45455, CRFI_TRINITYb_DN20494_c0_g1::TRINITYb_DN20494_c0_g1_i1::g.24610::m.24610, CRFI_TRINITYb_DN23063_c0_g3::TRINITYb_DN23063_c0_g3_i1::g.37904::m.37904, CRFI_TRINITYb_DN24547_c0_g1::TRINITYb_DN24547_c0_g1_i1::g.44677::m.44677, CRFI_TRINITYb_DN24876_c0_g5::TRINITYb_DN24876_c0_g5_i1::g.19751::m.19751, CRFI_TRINITYb_DN24999_c0_g1::TRINITYb_DN24999_c0_g1_i1::g.3095::m.3095, CRFI_TRINITYb_DN24999_c0_g4::TRINITYb_DN24999_c0_g4_i1::g.3097::m.3097, CRFI_TRINITYb_DN30491_c13_g15::TRINITYb_DN30491_c13_g15_i15::g.4557::m.4557, CRFI_TRINITYb_DN30598_c6_g6::TRINITYb_DN30598_c6_g6_i9::g.46728::m.46728, CRFI_TRINITYb_DN32874_c0_g13::TRINITYb_DN32874_c0_g13_i1::g.15023::m.15023, CRFI_TRINITYb_DN33991_c0_g1::TRINITYb_DN33991_c0_g1_i1::g.10954::m.10954, CRFI_TRINITYb_DN478_c0_g1::TRINITYb_DN478_c0_g1_i1::g.25998::m.25998, CRFI_TRINITYb_DN57478_c0_g2::TRINITYb_DN57478_c0_g2_i1::g.33079::m.33079, CRFI_TRINITYb_DN6006_c0_g1::TRINITYb_DN6006_c0_g1_i1::g.27603::m.27603, CRFI_TRINITYb_DN84911_c0_g1::TRINITYb_DN84911_c0_g1_i1::g.12592::m.12592, CRFI_TRINITYb_DN9256_c0_g1::TRINITYb_DN9256_c0_g1_i1::g.8621::m.8621, CRFI_TRINITYb_DN9613_c0_g2::TRINITYb_DN9613_c0_g2_i1::g.20728::m.20728
OG0000005	CRCR_TRINITY_DN43500_c1_g10::TRINITY_DN43500_c1_g10_i2::g.4362::m.4362, CRCR_TRINITY_DN43500_c1_g10::TRINITY_DN43500_c1_g10_i4::g.4363::m.4363, CRCR_TRINITY_DN43500_c1_g10::TRINITY_DN43500_c1_g10_i7::g.4364::m.4364, CRCR_TRINITY_DN43500_c1_g10::TRINITY_DN43500_c1_g10_i8::g.4366::m.4366	CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i10::g.249::m.249, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i11::g.252::m.252, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i12::g.254::m.254, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i13::g.255::m.255, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i14::g.258::m.258, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i15::g.261::m.261, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i16::g.263::m.263, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i17::g.264::m.264, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i18::g.266::m.266, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i19::g.267::m.267, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i1::g.233::m.233, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i20::g.269::m.269, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i2::g.236::m.236, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i3::g.237::m.237, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i4::g.239::m.239, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i5::g.241::m.241, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i6::g.243::m.243, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i7::g.245::m.245, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i8::g.247::m.247, CRFI_TRINITYb_DN29114_c0_g1::TRINITYb_DN29114_c0_g1_i9::g.248::m.248
OG0000006	CRCR_TRINITY_DN15994_c0_g2::TRINITY_DN15994_c0_g2_i1::g.19417::m.19417, CRCR_TRINITY_DN34073_c0_g1::TRINITY_DN34073_c0_g1_i1::g.28069::m.28069, CRCR_TRINITY_DN35929_c0_g1::TRINITY_DN35929_c0_g1_i1::g.22252::m.22252, CRCR_TRINITY_DN36200_c0_g1::TRINITY_DN36200_c0_g1_i2::g.27527::m.27527, CRCR_TRINITY_DN36200_c0_g1::TRINITY_DN36200_c0_g1_i4::g.27531::m.27531, CRCR_TRINITY_DN36200_c0_g1::TRINITY_DN36200_c0_g1_i6::g.27532::m.27532, CRCR_TRINITY_DN36200_c0_g1::TRINITY_DN36200_c0_g1_i7::g.27535::m.27535, CRCR_TRINITY_DN36577_c0_g2::TRINITY_DN36577_c0_g2_i1::g.2970::m.2970, CRCR_TRINITY_DN36577_c0_g3::TRINITY_DN36577_c0_g3_i1::g.2971::m.2971, CRCR_TRINITY_DN36577_c0_g3::TRINITY_DN36577_c0_g3_i2::g.2972::m.2972, CRCR_TRINITY_DN36577_c0_g3::TRINITY_DN36577_c0_g3_i3::g.2973::m.2973, CRCR_TRINITY_DN38157_c0_g1::TRINITY_DN38157_c0_g1_i1::g.30411::m.30411, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i10::g.50134::m.50134, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i1::g.50109::m.50109, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i2::g.50114::m.50114, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i3::g.50115::m.50115, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i4::g.50117::m.50117, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i7::g.50124::m.50124, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i8::g.50127::m.50127, CRCR_TRINITY_DN46373_c2_g1::TRINITY_DN46373_c2_g1_i9::g.50130::m.50130, CRCR_TRINITY_DN46613_c1_g1::TRINITY_DN46613_c1_g1_i2::g.2351::m.2351, CRCR_TRINITY_DN46613_c1_g1::TRINITY_DN46613_c1_g1_i3::g.2355::m.2355	CRFI_TRINITYb_DN1323_c0_g1::TRINITYb_DN1323_c0_g1_i1::g.31166::m.31166
OG0000007	CRCR_TRINITY_DN21064_c0_g1::TRINITY_DN21064_c0_g1_i1::g.51635::m.51635, CRCR_TRINITY_DN25275_c1_g1::TRINITY_DN25275_c1_g1_i1::g.19936::m.19936, CRCR_TRINITY_DN26154_c0_g1::TRINITY_DN26154_c0_g1_i3::g.35742::m.35742, CRCR_TRINITY_DN28165_c0_g4::TRINITY_DN28165_c0_g4_i1::g.48870::m.48870, CRCR_TRINITY_DN30859_c0_g2::TRINITY_DN30859_c0_g2_i2::g.3907::m.3907	CRFI_TRINITYb_DN11519_c0_g1::TRINITYb_DN11519_c0_g1_i1::g.45079::m.45079, CRFI_TRINITYb_DN12502_c0_g1::TRINITYb_DN12502_c0_g1_i1::g.5372::m.5372, CRFI_TRINITYb_DN18153_c0_g3::TRINITYb_DN18153_c0_g3_i1::g.33211::m.33211, CRFI_TRINITYb_DN18582_c5_g8::TRINITYb_DN18582_c5_g8_i2::g.45449::m.45449, CRFI_TRINITYb_DN19425_c0_g3::TRINITYb_DN19425_c0_g3_i1::g.1818::m.1818, CRFI_TRINITYb_DN19822_c0_g4::TRINITYb_DN19822_c0_g4_i1::g.5521::m.5521, CRFI_TRINITYb_DN230_c0_g1::TRINITYb_DN230_c0_g1_i1::g.16042::m.16042, CRFI_TRINITYb_DN24782_c1_g1::TRINITYb_DN24782_c1_g1_i1::g.26154::m.26154, CRFI_TRINITYb_DN25148_c0_g1::TRINITYb_DN25148_c0_g1_i3::g.39643::m.39643, CRFI_TRINITYb_DN27583_c5_g11::TRINITYb_DN27583_c5_g11_i1::g.19685::m.19685, CRFI_TRINITYb_DN30240_c2_g3::TRINITYb_DN30240_c2_g3_i1::g.572::m.572, CRFI_TRINITYb_DN30598_c6_g6::TRINITYb_DN30598_c6_g6_i6::g.46725::m.46725, CRFI_TRINITYb_DN30598_c6_g6::TRINITYb_DN30598_c6_g6_i8::g.46727::m.46727, CRFI_TRINITYb_DN42678_c0_g1::TRINITYb_DN42678_c0_g1_i1::g.33629::m.33629, CRFI_TRINITYb_DN55953_c0_g1::TRINITYb_DN55953_c0_g1_i1::g.18509::m.18509, CRFI_TRINITYb_DN65448_c0_g1::TRINITYb_DN65448_c0_g1_i1::g.47909::m.47909, CRFI_TRINITYb_DN73433_c0_g1::TRINITYb_DN73433_c0_g1_i1::g.45801::m.45801
OG0000008	CRCR_TRINITY_DN38869_c3_g10::TRINITY_DN38869_c3_g10_i1::g.20604::m.20604, CRCR_TRINITY_DN39140_c8_g23::TRINITY_DN39140_c8_g23_i1::g.8615::m.8615, CRCR_TRINITY_DN40629_c10_g5::TRINITY_DN40629_c10_g5_i1::g.1806::m.1806, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i10::g.34251::m.34251, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i13::g.34252::m.34252, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i14::g.34253::m.34253, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i1::g.34243::m.34243, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i2::g.34244::m.34244, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i4::g.34245::m.34245, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i5::g.34247::m.34247, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i7::g.34248::m.34248, CRCR_TRINITY_DN45500_c5_g10::TRINITY_DN45500_c5_g10_i9::g.34249::m.34249, CRCR_TRINITY_DN45500_c5_g14::TRINITY_DN45500_c5_g14_i1::g.34254::m.34254, CRCR_TRINITY_DN46132_c2_g1::TRINITY_DN46132_c2_g1_i9::g.37406::m.37406, CRCR_TRINITY_DN46386_c2_g4::TRINITY_DN46386_c2_g4_i1::g.50204::m.50204, CRCR_TRINITY_DN46386_c2_g4::TRINITY_DN46386_c2_g4_i2::g.50205::m.50205, CRCR_TRINITY_DN63957_c0_g1::TRINITY_DN63957_c0_g1_i1::g.52967::m.52967	CRFI_TRINITYb_DN20900_c1_g1::TRINITYb_DN20900_c1_g1_i1::g.41913::m.41913, CRFI_TRINITYb_DN31521_c4_g1::TRINITYb_DN31521_c4_g1_i1::g.10401::m.10401, CRFI_TRINITYb_DN32346_c9_g4::TRINITYb_DN32346_c9_g4_i1::g.22405::m.22405, CRFI_TRINITYb_DN32346_c9_g4::TRINITYb_DN32346_c9_g4_i2::g.22407::m.22407, CRFI_TRINITYb_DN32346_c9_g4::TRINITYb_DN32346_c9_g4_i3::g.22409::m.22409
OG0000009	CRCR_TRINITY_DN37967_c0_g1::TRINITY_DN37967_c0_g1_i1::g.29736::m.29736	CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i11::g.43181::m.43181, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i11::g.43185::m.43185, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i12::g.43187::m.43187, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i12::g.43189::m.43189, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i13::g.43190::m.43190, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i16::g.43193::m.43193, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i16::g.43197::m.43197, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i1::g.43152::m.43152, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i2::g.43155::m.43155, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i3::g.43158::m.43158, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i4::g.43161::m.43161, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i6::g.43165::m.43165, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i6::g.43166::m.43166, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i7::g.43169::m.43169, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i8::g.43173::m.43173, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i8::g.43176::m.43176, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i9::g.43177::m.43177, CRFI_TRINITYb_DN30024_c0_g2::TRINITYb_DN30024_c0_g2_i9::g.43178::m.43178, CRFI_TRINITYb_DN80866_c0_g1::TRINITYb_DN80866_c0_g1_i1::g.40979::m.40979
