OrthoGroup	t	S	N	dNdS	dN	dS
OG0007042	1.0266	68.2	177.8	1	0.3422	0.3422
OG0007044	0.0206	236.4	360.6	1	0.0069	0.0069
OG0007045	0.0361	182.1	411.9	1	0.012	0.012
OG0007046	0.0585	83.5	180.5	1	0.0195	0.0195
OG0007047	0.0211	123.2	311.8	1	0.007	0.007
OG0007048	0.0286	50.8	273.2	1	0.0095	0.0095
OG0007049	0.141	122.4	366.6	1	0.047	0.047
OG0007050	0.0728	81.3	425.7	1	0.0243	0.0243
OG0007051	0.0246	110	265	1	0.0082	0.0082
OG0007052	0.1888	172.4	451.6	1	0.0629	0.0629
OG0007053	0.9873	170.9	504.1	1	0.3291	0.3291
OG0007055	0.008	71	307	1	0.0027	0.0027
OG0007056	0.0409	687.9	1496.1	1	0.0136	0.0136
OG0007057	0.037	85.6	325.4	1	0.0123	0.0123
OG0007058	0.0321	197	565	1	0.0107	0.0107
OG0007059	0.0436	92.4	261.6	1	0.0145	0.0145
OG0007060	0.0208	166.2	565.8	1	0.0069	0.0069
OG0007061	1.0133	132.1	308.9	1	0.3378	0.3378
OG0007062	0.0108	386.7	753.3	1	0.0036	0.0036
OG0007063	0.0408	203.6	405.4	1	0.0136	0.0136
OG0007064	0.0214	301.1	679.9	1	0.0071	0.0071
OG0007065	0.0165	132.2	419.8	1	0.0055	0.0055
OG0007066	0.0627	134.3	312.7	1	0.0209	0.0209
OG0007067	0.3104	90.8	401.2	1	0.1035	0.1035
OG0007068	0.6679	150.3	422.7	1	0.2226	0.2226
OG0007069	0.0246	179.9	315.1	1	0.0082	0.0082
OG0007070	0.0533	145.8	373.2	1	0.0178	0.0178
OG0007071	0.014	641.2	1749.8	1	0.0047	0.0047
OG0007072	0.02	428.3	1245.7	1	0.0067	0.0067
OG0007074	0.0344	121.8	223.2	1	0.0115	0.0115
OG0007075	0.0072	286	563	1	0.0024	0.0024
OG0007076	2.4482	68	223	1	0.8161	0.8161
OG0007077	0.2666	105.5	224.5	1	0.0889	0.0889
OG0007078	1.933	93.5	233.5	1	0.6443	0.6443
OG0007079	0.8617	108	342	1	0.2872	0.2872
OG0007081	0.0284	197.6	450.4	1	0.0095	0.0095
OG0007082	0.0476	249.5	584.5	1	0.0159	0.0159
OG0007083	0.0716	75.7	395.3	1	0.0239	0.0239
OG0007084	0.0308	65.6	231.4	1	0.0103	0.0103
OG0007085	0.0311	546.4	1220.6	1	0.0104	0.0104
OG0007086	0.082	165.7	404.3	1	0.0273	0.0273
OG0007087	0.0513	140.5	276.5	1	0.0171	0.0171
OG0007088	0.0528	181	401	1	0.0176	0.0176
OG0007089	0.0454	161.5	378.5	1	0.0151	0.0151
OG0007090	0.0127	204	516	1	0.0042	0.0042
OG0007091	0.063	368.8	729.2	1	0.021	0.021
OG0007092	0.0174	717	1725	1	0.0058	0.0058
OG0007093	0.043	135.4	434.6	1	0.0143	0.0143
OG0007095	0.0553	103.9	391.1	1	0.0184	0.0184
OG0007096	0.026	106.8	361.2	1	0.0087	0.0087
OG0007097	0.0378	123.8	446.2	1	0.0126	0.0126
OG0007098	0.0635	248.1	483.9	1	0.0212	0.0212
OG0007099	0.1701	87.9	230.1	1	0.0567	0.0567
OG0007100	2.1892	77.8	189.2	1	0.7297	0.7297
OG0007101	0.0487	72.4	242.6	1	0.0162	0.0162
OG0007102	0.0237	224.2	417.8	1	0.0079	0.0079
OG0007104	0.0123	441.1	1280.9	1	0.0041	0.0041
OG0007105	0.0387	140.8	411.2	1	0.0129	0.0129
OG0007106	0.0228	271.7	547.3	1	0.0076	0.0076
OG0007107	0.0293	174.9	461.1	1	0.0098	0.0098
OG0007108	0.0316	539	1309	1	0.0105	0.0105
OG0007110	0.057	94.7	229.3	1	0.019	0.019
OG0007112	0.0335	331.3	490.7	1	0.0112	0.0112
OG0007113	0.0436	176.3	1020.7	1	0.0145	0.0145
OG0007114	0.4774	83.8	231.2	1	0.1591	0.1591
OG0007115	0.0946	137.1	387.9	1	0.0315	0.0315
OG0007116	0.033	267.1	662.9	1	0.011	0.011
OG0007117	0.073	157.8	394.2	1	0.0243	0.0243
OG0007118	0.0186	218.6	759.4	1	0.0062	0.0062
OG0007119	0.0774	267	687	1	0.0258	0.0258
OG0007120	0.0191	165.4	473.6	1	0.0064	0.0064
OG0007121	0.0868	94.9	229.1	1	0.0289	0.0289
OG0007122	0.0406	153.2	602.8	1	0.0135	0.0135
