OrthoGroup	t	S	N	dNdS	dN	dS
OG0007042	15.6819	61.8	184.2	0.0025	0.051	20.6716
OG0007044	0.0191	236.4	360.6	0.001	0	0.016
OG0007045	0.0362	179.7	414.3	0.559	0.0097	0.0174
OG0007046	0.0571	81.2	182.8	0.322	0.0115	0.0359
OG0007047	0.0223	113.7	321.3	0.001	0	0.0284
OG0007048	0.0291	51	273	99	0.0115	0.0001
OG0007049	0.15	118.6	370.4	0.1624	0.0222	0.1368
OG0007050	0.0754	73.4	433.6	0.0781	0.0093	0.1188
OG0007051	0.0266	92.3	282.7	0.001	0	0.0359
OG0007052	0.1886	173	451	1.1527	0.0653	0.0566
OG0007053	43.7037	161.2	513.8	0.0022	0.1322	60.5686
OG0007055	0.0085	71	307	0.001	0	0.015
OG0007056	0.0412	668.8	1515.2	0.3017	0.008	0.0267
OG0007057	0.0371	78.8	332.2	0.1567	0.0061	0.0388
OG0007058	0.0325	191.7	570.3	0.5177	0.0088	0.0169
OG0007059	0.0442	85.9	268.1	0.0778	0.0038	0.0489
OG0007060	0.0213	144.6	587.4	0.1546	0.0034	0.0221
OG0007061	1.0361	130.8	310.2	0.4721	0.2594	0.5494
OG0007062	0.0108	386.7	753.3	0.1719	0.0014	0.0079
OG0007063	0.0405	197.5	411.5	0.0693	0.0025	0.0363
OG0007064	0.0215	291.9	689.1	0.3167	0.0044	0.0138
OG0007065	0.0182	119	433	0.001	0	0.028
OG0007066	0.0632	120.7	326.3	0.1799	0.0094	0.0525
OG0007067	0.3141	83	409	0.4128	0.0844	0.2046
OG0007068	1.4061	127.6	445.4	0.0188	0.0371	1.9753
OG0007069	0.0248	179.7	315.3	0.5421	0.0063	0.0117
OG0007070	0.0533	147.9	371.1	1.4055	0.0194	0.0138
OG0007071	0.0142	633.6	1757.4	0.4079	0.0034	0.0084
OG0007072	0.0207	364.2	1309.8	0.0265	0.0008	0.0289
OG0007074	0.0354	121.8	223.2	0.1703	0.0043	0.0255
OG0007075	0.007	286	563	0.001	0	0.0069
OG0007076	2.506	68.1	222.9	0.568	0.7091	1.2484
OG0007077	0.2706	104.4	225.6	0.5214	0.0699	0.134
OG0007078	1.954	93.3	233.7	0.7766	0.6019	0.7751
OG0007079	0.878	107.9	342.1	0.5367	0.2425	0.4518
OG0007081	0.0287	194.3	453.7	0.41	0.0067	0.0163
OG0007082	0.0472	244.7	589.3	0.5105	0.0123	0.024
OG0007083	0.0724	73.9	397.1	0.3938	0.0194	0.0493
OG0007084	0.0338	65.6	231.4	0.001	0.0001	0.0509
