OrthoGroup	lnL
OG0007042	-537.054798
OG0007044	-815.12944
OG0007045	-846.357379
OG0007046	-383.609624
OG0007047	-607.010502
OG0007048	-429.918626
OG0007049	-776.426754
OG0007050	-722.033501
OG0007051	-523.136151
OG0007052	-989.047729
OG0007053	-1482.688659
OG0007055	-500.286482
OG0007056	-3130.058783
OG0007057	-552.885052
OG0007058	-1059.146333
OG0007059	-487.380709
OG0007060	-1008.695916
OG0007061	-957.618281
OG0007062	-1559.236225
OG0007063	-862.278007
OG0007064	-1348.886843
OG0007065	-769.673671
OG0007066	-628.284835
OG0007067	-836.429154
OG0007068	-1160.861086
OG0007069	-670.328508
OG0007070	-728.599827
OG0007071	-3300.870002
OG0007072	-2305.099311
OG0007074	-483.05601
OG0007075	-1146.116299
OG0007076	-745.444061
OG0007077	-562.280761
OG0007078	-813.065914
OG0007079	-944.618106
OG0007081	-917.833138
OG0007082	-1203.420518
OG0007083	-686.653736
OG0007084	-420.991328
OG0007085	-2480.605183
OG0007086	-832.456122
OG0007087	-596.21516
OG0007088	-845.727374
OG0007089	-779.399086
OG0007090	-989.315479
OG0007091	-1571.399902
OG0007092	-3384.604212
OG0007093	-807.509374
OG0007095	-713.657516
OG0007096	-649.291071
OG0007097	-780.622058
OG0007098	-1067.431515
OG0007099	-504.432824
OG0007100	-675.507546
OG0007101	-461.143662
OG0007102	-894.098804
OG0007104	-2386.678777
OG0007105	-771.656677
OG0007106	-1144.741281
OG0007107	-877.999097
OG0007108	-2612.127029
OG0007110	-458.282834
OG0007112	-1098.343961
OG0007113	-1615.04525
OG0007114	-595.333158
OG0007115	-801.235816
OG0007116	-1290.593952
OG0007117	-811.070725
OG0007118	-1369.247587
OG0007119	-1431.611884
OG0007120	-887.205394
OG0007121	-475.956476
OG0007122	-1063.182295
OG0007123	-315.590009
OG0007125	-774.105472
OG0007126	-2092.701236
OG0007127	-716.770431
OG0007128	-676.875412
OG0007129	-754.99323
OG0007130	-897.524803
OG0007131	-405.438273
OG0007132	-476.295672
OG0007133	-733.335043
OG0007134	-707.805987
OG0007135	-690.001282
OG0007136	-1159.563994
OG0007137	-1155.901667
OG0007139	-1422.22758
OG0007140	-1668.757733
OG0007141	-876.805035
OG0007142	-939.587983
OG0007143	-1097.465144
OG0007144	-489.993984
OG0007145	-1005.910253
OG0007146	-1971.366839
OG0007147	-1582.402655
OG0007148	-688.079166
OG0007149	-2179.981652
OG0007150	-536.218315
OG0007151	-342.082313
OG0007152	-1264.77714
OG0007153	-629.553513
OG0007154	-797.710446
OG0007156	-703.067083
OG0007157	-1290.870817
OG0007158	-469.918573
OG0007159	-739.058846
OG0007160	-794.430057
OG0007161	-1969.324264
OG0007162	-1425.137898
OG0007163	-3321.821629
OG0007164	-1088.362182
OG0007165	-1806.593583
OG0007166	-898.053472
OG0007167	-730.912413
OG0007168	-1286.312212
OG0007169	-470.506533
OG0007170	-541.600398
OG0007171	-424.197931
OG0007172	-962.51844
OG0007173	-739.202123
OG0007174	-752.190657
OG0007176	-1082.533991
OG0007177	-1415.931846
OG0007178	-583.113305
OG0007179	-854.488974
OG0007180	-562.768641
OG0007181	-1405.382428
OG0007182	-4501.599895
OG0007183	-621.938976
OG0007184	-1228.133324
OG0007185	-1980.636449
OG0007186	-866.910508
OG0007187	-1180.150522
OG0007188	-438.933564
OG0007189	-822.645249
OG0007190	-157.490506
OG0007192	-1538.101991
OG0007193	-699.28009
OG0007194	-577.509607
OG0007195	-770.994467
OG0007196	-1624.236813
OG0007197	-845.498003
OG0007202	-657.486771
OG0007203	-825.544466
OG0007205	-709.500679
OG0007206	-574.878572
OG0007207	-537.314928
OG0007208	-521.783945
OG0007209	-3038.779024
OG0007210	-1231.445482
OG0007211	-1129.481233
OG0007212	-449.39339
OG0007213	-549.229896
OG0007214	-458.591768
OG0007216	-1304.830932
OG0007217	-1254.005142
OG0007218	-654.519777
OG0007219	-822.76792
OG0007220	-284.974565
OG0007221	-856.023282
OG0007222	-2773.837697
OG0007223	-1491.095123
OG0007225	-1169.026632
OG0007226	-587.901254
OG0007227	-1678.497032
OG0007228	-528.268213
OG0007230	-1336.899749
OG0007232	-1087.825333
OG0007233	-769.90841
OG0007234	-651.279093
OG0007235	-617.316054
OG0007236	-915.035661
OG0007237	-514.758489
OG0007238	-799.810559
OG0007239	-944.646066
OG0007240	-500.279102
OG0007241	-686.380102
OG0007242	-1129.108774
OG0007243	-537.92444
OG0007244	-1166.144351
OG0007245	-493.113072
OG0007246	-1209.64577
OG0007247	-998.711363
OG0007248	-451.084437
OG0007249	-1869.229335
OG0007252	-805.727444
OG0007253	-827.931167
OG0007254	-790.969317
OG0007255	-612.603083
OG0007257	-1288.480661
OG0007258	-650.048562
OG0007259	-720.564398
OG0007260	-709.151084
OG0007261	-3285.234166
OG0007262	-1325.224091
OG0007263	-764.8446
OG0007264	-456.349671
OG0007266	-886.23247
OG0007267	-990.738556
OG0007268	-480.412626
OG0007269	-680.685548
OG0007270	-671.862219
OG0007271	-1122.826366
OG0007272	-5787.897776
OG0007273	-2263.174055
OG0007274	-730.114701
OG0007275	-835.32553
OG0007276	-530.402465
OG0007277	-786.596914
OG0007279	-420.730919
OG0007281	-954.157774
OG0007282	-705.785369
OG0007283	-1071.485394
OG0007284	-715.529404
