Orthogroup	CRCR_fixednames	CRFI_fixednames
OG0000000	CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i10__g.46505__m.46505, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i11__g.46508__m.46508, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i12__g.46511__m.46511, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i13__g.46514__m.46514, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i15__g.46518__m.46518, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i17__g.46520__m.46520, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i18__g.46523__m.46523, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i1__g.46490__m.46490, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i2__g.46491__m.46491, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i3__g.46492__m.46492, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i4__g.46493__m.46493, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i6__g.46496__m.46496, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i7__g.46499__m.46499, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i9__g.46502__m.46502	CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i10__g.20037__m.20037, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i11__g.20040__m.20040, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i12__g.20043__m.20043, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i13__g.20046__m.20046, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i14__g.20049__m.20049, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i15__g.20052__m.20052, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i16__g.20055__m.20055, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i17__g.20058__m.20058, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i18__g.20061__m.20061, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i19__g.20064__m.20064, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i1__g.20010__m.20010, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i20__g.20067__m.20067, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i21__g.20070__m.20070, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i22__g.20073__m.20073, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i23__g.20076__m.20076, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i24__g.20079__m.20079, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i2__g.20013__m.20013, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i3__g.20016__m.20016, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i4__g.20019__m.20019, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i5__g.20022__m.20022, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i6__g.20025__m.20025, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i7__g.20028__m.20028, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i8__g.20031__m.20031, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i9__g.20034__m.20034
OG0000001	CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i10__g.46506__m.46506, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i11__g.46509__m.46509, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i12__g.46512__m.46512, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i13__g.46515__m.46515, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i17__g.46521__m.46521, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i18__g.46524__m.46524, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i4__g.46494__m.46494, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i6__g.46497__m.46497, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i7__g.46500__m.46500, CRCR_TRINITY_DN38636_c0_g1__TRINITY_DN38636_c0_g1_i9__g.46503__m.46503	CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i10__g.20038__m.20038, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i11__g.20041__m.20041, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i12__g.20044__m.20044, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i13__g.20047__m.20047, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i14__g.20050__m.20050, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i15__g.20053__m.20053, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i16__g.20056__m.20056, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i17__g.20059__m.20059, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i18__g.20062__m.20062, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i19__g.20065__m.20065, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i1__g.20011__m.20011, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i20__g.20068__m.20068, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i21__g.20071__m.20071, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i22__g.20074__m.20074, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i23__g.20077__m.20077, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i24__g.20080__m.20080, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i2__g.20014__m.20014, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i3__g.20017__m.20017, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i4__g.20020__m.20020, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i5__g.20023__m.20023, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i6__g.20026__m.20026, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i7__g.20029__m.20029, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i8__g.20032__m.20032, CRFI_TRINITYb_DN28020_c0_g1__TRINITYb_DN28020_c0_g1_i9__g.20035__m.20035
OG0000002	CRCR_TRINITY_DN10472_c0_g1__TRINITY_DN10472_c0_g1_i1__g.7784__m.7784, CRCR_TRINITY_DN110263_c0_g1__TRINITY_DN110263_c0_g1_i1__g.857__m.857, CRCR_TRINITY_DN17065_c0_g1__TRINITY_DN17065_c0_g1_i1__g.50572__m.50572, CRCR_TRINITY_DN21600_c0_g1__TRINITY_DN21600_c0_g1_i1__g.17061__m.17061, CRCR_TRINITY_DN24357_c0_g1__TRINITY_DN24357_c0_g1_i1__g.45541__m.45541, CRCR_TRINITY_DN26982_c0_g1__TRINITY_DN26982_c0_g1_i1__g.24277__m.24277, CRCR_TRINITY_DN26982_c0_g2__TRINITY_DN26982_c0_g2_i1__g.24278__m.24278, CRCR_TRINITY_DN30754_c1_g1__TRINITY_DN30754_c1_g1_i1__g.51853__m.51853, CRCR_TRINITY_DN30754_c1_g2__TRINITY_DN30754_c1_g2_i1__g.51855__m.51855, CRCR_TRINITY_DN30754_c2_g1__TRINITY_DN30754_c2_g1_i1__g.51857__m.51857, CRCR_TRINITY_DN33604_c0_g2__TRINITY_DN33604_c0_g2_i1__g.10270__m.10270, CRCR_TRINITY_DN33604_c0_g2__TRINITY_DN33604_c0_g2_i2__g.10272__m.10272, CRCR_TRINITY_DN33604_c0_g2__TRINITY_DN33604_c0_g2_i4__g.10273__m.10273, CRCR_TRINITY_DN33604_c0_g2__TRINITY_DN33604_c0_g2_i5__g.10274__m.10274, CRCR_TRINITY_DN39589_c2_g1__TRINITY_DN39589_c2_g1_i1__g.49618__m.49618, CRCR_TRINITY_DN46373_c2_g3__TRINITY_DN46373_c2_g3_i1__g.50119__m.50119, CRCR_TRINITY_DN46373_c2_g3__TRINITY_DN46373_c2_g3_i2__g.50121__m.50121, CRCR_TRINITY_DN46613_c1_g1__TRINITY_DN46613_c1_g1_i3__g.2359__m.2359, CRCR_TRINITY_DN6285_c0_g1__TRINITY_DN6285_c0_g1_i1__g.9339__m.9339, CRCR_TRINITY_DN6285_c0_g1__TRINITY_DN6285_c0_g1_i2__g.9340__m.9340, CRCR_TRINITY_DN66019_c0_g1__TRINITY_DN66019_c0_g1_i1__g.38974__m.38974, CRCR_TRINITY_DN83330_c0_g1__TRINITY_DN83330_c0_g1_i1__g.50020__m.50020, CRCR_TRINITY_DN84135_c0_g1__TRINITY_DN84135_c0_g1_i1__g.24914__m.24914	CRFI_TRINITYb_DN32660_c2_g26__TRINITYb_DN32660_c2_g26_i2__g.39554__m.39554, CRFI_TRINITYb_DN32916_c1_g2__TRINITYb_DN32916_c1_g2_i1__g.34963__m.34963, CRFI_TRINITYb_DN32916_c1_g3__TRINITYb_DN32916_c1_g3_i1__g.34965__m.34965, CRFI_TRINITYb_DN60731_c0_g1__TRINITYb_DN60731_c0_g1_i1__g.37187__m.37187, CRFI_TRINITYb_DN63011_c0_g1__TRINITYb_DN63011_c0_g1_i1__g.23553__m.23553
OG0000003	CRCR_TRINITY_DN100914_c0_g1__TRINITY_DN100914_c0_g1_i1__g.608__m.608, CRCR_TRINITY_DN104003_c0_g1__TRINITY_DN104003_c0_g1_i1__g.1074__m.1074, CRCR_TRINITY_DN17004_c0_g1__TRINITY_DN17004_c0_g1_i1__g.50569__m.50569, CRCR_TRINITY_DN23584_c0_g1__TRINITY_DN23584_c0_g1_i1__g.4108__m.4108, CRCR_TRINITY_DN31060_c1_g1__TRINITY_DN31060_c1_g1_i1__g.15991__m.15991, CRCR_TRINITY_DN40720_c5_g21__TRINITY_DN40720_c5_g21_i3__g.45967__m.45967, CRCR_TRINITY_DN40720_c5_g21__TRINITY_DN40720_c5_g21_i6__g.45968__m.45968, CRCR_TRINITY_DN40720_c5_g21__TRINITY_DN40720_c5_g21_i7__g.45969__m.45969, CRCR_TRINITY_DN40720_c5_g21__TRINITY_DN40720_c5_g21_i8__g.45970__m.45970, CRCR_TRINITY_DN45480_c13_g2__TRINITY_DN45480_c13_g2_i4__g.34689__m.34689, CRCR_TRINITY_DN45480_c13_g2__TRINITY_DN45480_c13_g2_i7__g.34693__m.34693, CRCR_TRINITY_DN45602_c1_g1__TRINITY_DN45602_c1_g1_i1__g.40862__m.40862, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i11__g.2385__m.2385, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i14__g.2389__m.2389, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i15__g.2390__m.2390, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i1__g.2376__m.2376, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i1__g.2379__m.2379, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i3__g.2380__m.2380, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i4__g.2381__m.2381, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i7__g.2382__m.2382, CRCR_TRINITY_DN46693_c1_g2__TRINITY_DN46693_c1_g2_i7__g.2384__m.2384, CRCR_TRINITY_DN48599_c0_g1__TRINITY_DN48599_c0_g1_i1__g.39503__m.39503, CRCR_TRINITY_DN71119_c0_g1__TRINITY_DN71119_c0_g1_i1__g.10948__m.10948, CRCR_TRINITY_DN71493_c0_g1__TRINITY_DN71493_c0_g1_i1__g.36030__m.36030	CRFI_TRINITYb_DN32865_c2_g3__TRINITYb_DN32865_c2_g3_i2__g.14657__m.14657, CRFI_TRINITYb_DN62104_c0_g1__TRINITYb_DN62104_c0_g1_i1__g.8176__m.8176, CRFI_TRINITYb_DN74597_c0_g1__TRINITYb_DN74597_c0_g1_i1__g.14478__m.14478
OG0000004	CRCR_TRINITY_DN24254_c0_g1__TRINITY_DN24254_c0_g1_i1__g.17742__m.17742	CRFI_TRINITYb_DN12514_c0_g1__TRINITYb_DN12514_c0_g1_i1__g.5354__m.5354, CRFI_TRINITYb_DN13365_c0_g1__TRINITYb_DN13365_c0_g1_i1__g.35318__m.35318, CRFI_TRINITYb_DN14891_c0_g1__TRINITYb_DN14891_c0_g1_i1__g.23610__m.23610, CRFI_TRINITYb_DN15051_c0_g4__TRINITYb_DN15051_c0_g4_i2__g.24954__m.24954, CRFI_TRINITYb_DN16866_c0_g3__TRINITYb_DN16866_c0_g3_i1__g.21820__m.21820, CRFI_TRINITYb_DN16981_c0_g1__TRINITYb_DN16981_c0_g1_i1__g.816__m.816, CRFI_TRINITYb_DN20244_c0_g1__TRINITYb_DN20244_c0_g1_i1__g.45455__m.45455, CRFI_TRINITYb_DN20494_c0_g1__TRINITYb_DN20494_c0_g1_i1__g.24610__m.24610, CRFI_TRINITYb_DN23063_c0_g3__TRINITYb_DN23063_c0_g3_i1__g.37904__m.37904, CRFI_TRINITYb_DN24547_c0_g1__TRINITYb_DN24547_c0_g1_i1__g.44677__m.44677, CRFI_TRINITYb_DN24876_c0_g5__TRINITYb_DN24876_c0_g5_i1__g.19751__m.19751, CRFI_TRINITYb_DN24999_c0_g1__TRINITYb_DN24999_c0_g1_i1__g.3095__m.3095, CRFI_TRINITYb_DN24999_c0_g4__TRINITYb_DN24999_c0_g4_i1__g.3097__m.3097, CRFI_TRINITYb_DN30491_c13_g15__TRINITYb_DN30491_c13_g15_i15__g.4557__m.4557, CRFI_TRINITYb_DN30598_c6_g6__TRINITYb_DN30598_c6_g6_i9__g.46728__m.46728, CRFI_TRINITYb_DN32874_c0_g13__TRINITYb_DN32874_c0_g13_i1__g.15023__m.15023, CRFI_TRINITYb_DN33991_c0_g1__TRINITYb_DN33991_c0_g1_i1__g.10954__m.10954, CRFI_TRINITYb_DN478_c0_g1__TRINITYb_DN478_c0_g1_i1__g.25998__m.25998, CRFI_TRINITYb_DN57478_c0_g2__TRINITYb_DN57478_c0_g2_i1__g.33079__m.33079, CRFI_TRINITYb_DN6006_c0_g1__TRINITYb_DN6006_c0_g1_i1__g.27603__m.27603, CRFI_TRINITYb_DN84911_c0_g1__TRINITYb_DN84911_c0_g1_i1__g.12592__m.12592, CRFI_TRINITYb_DN9256_c0_g1__TRINITYb_DN9256_c0_g1_i1__g.8621__m.8621, CRFI_TRINITYb_DN9613_c0_g2__TRINITYb_DN9613_c0_g2_i1__g.20728__m.20728
OG0000005	CRCR_TRINITY_DN43500_c1_g10__TRINITY_DN43500_c1_g10_i2__g.4362__m.4362, CRCR_TRINITY_DN43500_c1_g10__TRINITY_DN43500_c1_g10_i4__g.4363__m.4363, CRCR_TRINITY_DN43500_c1_g10__TRINITY_DN43500_c1_g10_i7__g.4364__m.4364, CRCR_TRINITY_DN43500_c1_g10__TRINITY_DN43500_c1_g10_i8__g.4366__m.4366	CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i10__g.249__m.249, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i11__g.252__m.252, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i12__g.254__m.254, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i13__g.255__m.255, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i14__g.258__m.258, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i15__g.261__m.261, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i16__g.263__m.263, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i17__g.264__m.264, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i18__g.266__m.266, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i19__g.267__m.267, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i1__g.233__m.233, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i20__g.269__m.269, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i2__g.236__m.236, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i3__g.237__m.237, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i4__g.239__m.239, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i5__g.241__m.241, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i6__g.243__m.243, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i7__g.245__m.245, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i8__g.247__m.247, CRFI_TRINITYb_DN29114_c0_g1__TRINITYb_DN29114_c0_g1_i9__g.248__m.248
OG0000006	CRCR_TRINITY_DN15994_c0_g2__TRINITY_DN15994_c0_g2_i1__g.19417__m.19417, CRCR_TRINITY_DN34073_c0_g1__TRINITY_DN34073_c0_g1_i1__g.28069__m.28069, CRCR_TRINITY_DN35929_c0_g1__TRINITY_DN35929_c0_g1_i1__g.22252__m.22252, CRCR_TRINITY_DN36200_c0_g1__TRINITY_DN36200_c0_g1_i2__g.27527__m.27527, CRCR_TRINITY_DN36200_c0_g1__TRINITY_DN36200_c0_g1_i4__g.27531__m.27531, CRCR_TRINITY_DN36200_c0_g1__TRINITY_DN36200_c0_g1_i6__g.27532__m.27532, CRCR_TRINITY_DN36200_c0_g1__TRINITY_DN36200_c0_g1_i7__g.27535__m.27535, CRCR_TRINITY_DN36577_c0_g2__TRINITY_DN36577_c0_g2_i1__g.2970__m.2970, CRCR_TRINITY_DN36577_c0_g3__TRINITY_DN36577_c0_g3_i1__g.2971__m.2971, CRCR_TRINITY_DN36577_c0_g3__TRINITY_DN36577_c0_g3_i2__g.2972__m.2972, CRCR_TRINITY_DN36577_c0_g3__TRINITY_DN36577_c0_g3_i3__g.2973__m.2973, CRCR_TRINITY_DN38157_c0_g1__TRINITY_DN38157_c0_g1_i1__g.30411__m.30411, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i10__g.50134__m.50134, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i1__g.50109__m.50109, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i2__g.50114__m.50114, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i3__g.50115__m.50115, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i4__g.50117__m.50117, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i7__g.50124__m.50124, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i8__g.50127__m.50127, CRCR_TRINITY_DN46373_c2_g1__TRINITY_DN46373_c2_g1_i9__g.50130__m.50130, CRCR_TRINITY_DN46613_c1_g1__TRINITY_DN46613_c1_g1_i2__g.2351__m.2351, CRCR_TRINITY_DN46613_c1_g1__TRINITY_DN46613_c1_g1_i3__g.2355__m.2355	CRFI_TRINITYb_DN1323_c0_g1__TRINITYb_DN1323_c0_g1_i1__g.31166__m.31166
OG0000007	CRCR_TRINITY_DN21064_c0_g1__TRINITY_DN21064_c0_g1_i1__g.51635__m.51635, CRCR_TRINITY_DN25275_c1_g1__TRINITY_DN25275_c1_g1_i1__g.19936__m.19936, CRCR_TRINITY_DN26154_c0_g1__TRINITY_DN26154_c0_g1_i3__g.35742__m.35742, CRCR_TRINITY_DN28165_c0_g4__TRINITY_DN28165_c0_g4_i1__g.48870__m.48870, CRCR_TRINITY_DN30859_c0_g2__TRINITY_DN30859_c0_g2_i2__g.3907__m.3907	CRFI_TRINITYb_DN11519_c0_g1__TRINITYb_DN11519_c0_g1_i1__g.45079__m.45079, CRFI_TRINITYb_DN12502_c0_g1__TRINITYb_DN12502_c0_g1_i1__g.5372__m.5372, CRFI_TRINITYb_DN18153_c0_g3__TRINITYb_DN18153_c0_g3_i1__g.33211__m.33211, CRFI_TRINITYb_DN18582_c5_g8__TRINITYb_DN18582_c5_g8_i2__g.45449__m.45449, CRFI_TRINITYb_DN19425_c0_g3__TRINITYb_DN19425_c0_g3_i1__g.1818__m.1818, CRFI_TRINITYb_DN19822_c0_g4__TRINITYb_DN19822_c0_g4_i1__g.5521__m.5521, CRFI_TRINITYb_DN230_c0_g1__TRINITYb_DN230_c0_g1_i1__g.16042__m.16042, CRFI_TRINITYb_DN24782_c1_g1__TRINITYb_DN24782_c1_g1_i1__g.26154__m.26154, CRFI_TRINITYb_DN25148_c0_g1__TRINITYb_DN25148_c0_g1_i3__g.39643__m.39643, CRFI_TRINITYb_DN27583_c5_g11__TRINITYb_DN27583_c5_g11_i1__g.19685__m.19685, CRFI_TRINITYb_DN30240_c2_g3__TRINITYb_DN30240_c2_g3_i1__g.572__m.572, CRFI_TRINITYb_DN30598_c6_g6__TRINITYb_DN30598_c6_g6_i6__g.46725__m.46725, CRFI_TRINITYb_DN30598_c6_g6__TRINITYb_DN30598_c6_g6_i8__g.46727__m.46727, CRFI_TRINITYb_DN42678_c0_g1__TRINITYb_DN42678_c0_g1_i1__g.33629__m.33629, CRFI_TRINITYb_DN55953_c0_g1__TRINITYb_DN55953_c0_g1_i1__g.18509__m.18509, CRFI_TRINITYb_DN65448_c0_g1__TRINITYb_DN65448_c0_g1_i1__g.47909__m.47909, CRFI_TRINITYb_DN73433_c0_g1__TRINITYb_DN73433_c0_g1_i1__g.45801__m.45801
OG0000008	CRCR_TRINITY_DN38869_c3_g10__TRINITY_DN38869_c3_g10_i1__g.20604__m.20604, CRCR_TRINITY_DN39140_c8_g23__TRINITY_DN39140_c8_g23_i1__g.8615__m.8615, CRCR_TRINITY_DN40629_c10_g5__TRINITY_DN40629_c10_g5_i1__g.1806__m.1806, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i10__g.34251__m.34251, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i13__g.34252__m.34252, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i14__g.34253__m.34253, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i1__g.34243__m.34243, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i2__g.34244__m.34244, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i4__g.34245__m.34245, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i5__g.34247__m.34247, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i7__g.34248__m.34248, CRCR_TRINITY_DN45500_c5_g10__TRINITY_DN45500_c5_g10_i9__g.34249__m.34249, CRCR_TRINITY_DN45500_c5_g14__TRINITY_DN45500_c5_g14_i1__g.34254__m.34254, CRCR_TRINITY_DN46132_c2_g1__TRINITY_DN46132_c2_g1_i9__g.37406__m.37406, CRCR_TRINITY_DN46386_c2_g4__TRINITY_DN46386_c2_g4_i1__g.50204__m.50204, CRCR_TRINITY_DN46386_c2_g4__TRINITY_DN46386_c2_g4_i2__g.50205__m.50205, CRCR_TRINITY_DN63957_c0_g1__TRINITY_DN63957_c0_g1_i1__g.52967__m.52967	CRFI_TRINITYb_DN20900_c1_g1__TRINITYb_DN20900_c1_g1_i1__g.41913__m.41913, CRFI_TRINITYb_DN31521_c4_g1__TRINITYb_DN31521_c4_g1_i1__g.10401__m.10401, CRFI_TRINITYb_DN32346_c9_g4__TRINITYb_DN32346_c9_g4_i1__g.22405__m.22405, CRFI_TRINITYb_DN32346_c9_g4__TRINITYb_DN32346_c9_g4_i2__g.22407__m.22407, CRFI_TRINITYb_DN32346_c9_g4__TRINITYb_DN32346_c9_g4_i3__g.22409__m.22409
OG0000009	CRCR_TRINITY_DN37967_c0_g1__TRINITY_DN37967_c0_g1_i1__g.29736__m.29736	CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i11__g.43181__m.43181, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i11__g.43185__m.43185, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i12__g.43187__m.43187, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i12__g.43189__m.43189, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i13__g.43190__m.43190, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i16__g.43193__m.43193, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i16__g.43197__m.43197, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i1__g.43152__m.43152, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i2__g.43155__m.43155, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i3__g.43158__m.43158, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i4__g.43161__m.43161, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i6__g.43165__m.43165, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i6__g.43166__m.43166, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i7__g.43169__m.43169, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i8__g.43173__m.43173, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i8__g.43176__m.43176, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i9__g.43177__m.43177, CRFI_TRINITYb_DN30024_c0_g2__TRINITYb_DN30024_c0_g2_i9__g.43178__m.43178, CRFI_TRINITYb_DN80866_c0_g1__TRINITYb_DN80866_c0_g1_i1__g.40979__m.40979
