OrthoGroup,dNdS,dS,lnL,lnL.null,LRT,p
OG0007042,0.0025,20.6716,-461.900551,-537.054798,150.308494,1.15E-33
OG0007044,0.001,0.016,-811.764153,-815.12944,6.730574,0.017276049
OG0007045,0.559,0.0174,-846.091709,-846.357379,0.53134,0.383346047
OG0007046,0.322,0.0359,-382.870914,-383.609624,1.47742,0.238864895
OG0007047,0.001,0.0284,-602.979226,-607.010502,8.062552,0.008875832
OG0007048,99,0.0001,-429.367907,-429.918626,1.101438,0.288267566
OG0007049,0.1624,0.1368,-768.556799,-776.426754,15.73991,0.000191026
OG0007050,0.0781,0.1188,-713.596945,-722.033501,16.873112,0.000108398
OG0007051,0.001,0.0359,-519.068336,-523.136151,8.13563,0.008557372
OG0007052,1.1527,0.0566,-988.982846,-989.047729,0.129766,0.468588553
OG0007053,0.0022,60.5686,-1398.774201,-1482.688659,167.828916,1.80E-37
OG0007055,0.001,0.015,-498.561821,-500.286482,3.449322,0.089116731
OG0007056,0.3017,0.0267,-3125.213375,-3130.058783,9.690816,0.003932204
OG0007057,0.1567,0.0388,-550.98614,-552.885052,3.797824,0.074865719
OG0007058,0.5177,0.0169,-1058.794401,-1059.146333,0.703864,0.351663973
OG0007059,0.0778,0.0489,-484.081216,-487.380709,6.598986,0.018450936
OG0007060,0.1546,0.0221,-1006.842552,-1008.695916,3.706728,0.078354555
OG0007061,0.4721,0.5494,-952.191548,-957.618281,10.853466,0.002198719
OG0007062,0.1719,0.0079,-1557.841153,-1559.236225,2.790144,0.123907597
OG0007063,0.0693,0.0363,-857.255597,-862.278007,10.04482,0.003294314
OG0007064,0.3167,0.0138,-1347.814023,-1348.886843,2.14564,0.171021298
OG0007065,0.001,0.028,-764.997571,-769.673671,9.3522,0.004657636
OG0007066,0.1799,0.0525,-625.524362,-628.284835,5.520946,0.031630919
OG0007067,0.4128,0.2046,-834.442694,-836.429154,3.97292,0.068590092
OG0007068,0.0188,1.9753,-1053.845134,-1160.861086,214.031904,1.67E-47
OG0007069,0.5421,0.0117,-670.145886,-670.328508,0.365244,0.416541501
OG0007070,1.4055,0.0138,-728.512099,-728.599827,0.175456,0.458004999
OG0007071,0.4079,0.0084,-3299.859843,-3300.870002,2.020318,0.182080537
OG0007072,0.0265,0.0289,-2293.613169,-2305.099311,22.972284,5.14E-06
OG0007074,0.1703,0.0255,-481.661661,-483.05601,2.788698,0.123997214
OG0007075,0.001,0.0069,-1144.01634,-1146.116299,4.199918,0.061230725
OG0007076,0.568,1.2484,-743.860429,-745.444061,3.167264,0.102614177
OG0007077,0.5214,0.134,-561.04547,-562.280761,2.470582,0.145375071
OG0007078,0.7766,0.7751,-812.616648,-813.065914,0.898532,0.319048171
OG0007079,0.5367,0.4518,-941.876344,-944.618106,5.483524,0.032228337
OG0007081,0.41,0.0163,-917.27817,-917.833138,1.109936,0.287045316
OG0007082,0.5105,0.024,-1202.762518,-1203.420518,1.316,0.258943036
OG0007083,0.3938,0.0493,-686.006622,-686.653736,1.294228,0.261777289
OG0007084,0.001,0.0509,-416.211732,-420.991328,9.559192,0.004199696
OG0007085,0.0436,0.0356,-2466.153838,-2480.605183,28.90269,2.65E-07
OG0007086,0.5967,0.0384,-832.02403,-832.456122,0.864184,0.324574826
OG0007087,0.2119,0.0353,-594.293622,-596.21516,3.843076,0.073190827
OG0007088,1.7896,0.0114,-845.429732,-845.727374,0.595284,0.371283566
OG0007089,0.2363,0.0335,-777.482911,-779.399086,3.83235,0.073584404
OG0007090,0.1727,0.011,-988.267249,-989.315479,2.09646,0.175278844
OG0007091,0.1759,0.0476,-1564.138903,-1571.399902,14.521998,0.000351203
OG0007092,0.1439,0.0157,-3378.688775,-3384.604212,11.830874,0.00134874
OG0007093,0.2531,0.0355,-805.992408,-807.509374,3.033932,0.109688233
OG0007095,0.1065,0.07,-708.784329,-713.657516,9.746374,0.003824475
OG0007096,0.0896,0.0307,-646.760242,-649.291071,5.061658,0.039796505
OG0007097,0.001,0.0591,-769.933458,-780.622058,21.3772,1.14E-05
OG0007098,0.1673,0.0492,-1062.16515,-1067.431515,10.53273,0.002581171
OG0007099,0.8995,0.0611,-504.4147,-504.432824,0.036248,0.491019626
OG0007100,0.9257,0.7733,-675.477651,-675.507546,0.05979,0.485273718
OG0007101,1.1198,0.0149,-461.138608,-461.143662,0.010108,0.497479375
OG0007102,0.1342,0.0181,-891.983572,-894.098804,4.230464,0.060302653
OG0007104,0.0492,0.0155,-2380.621089,-2386.678777,12.115376,0.001169902
OG0007105,0.3859,0.0246,-770.962361,-771.656677,1.388632,0.249707966
OG0007106,0.1027,0.0186,-1141.653051,-1144.741281,6.17646,0.022791282
OG0007107,0.001,0.0349,-870.443243,-877.999097,15.111708,0.00026152
OG0007108,0.0412,0.0362,-2595.807278,-2612.127029,32.639502,4.09E-08
OG0007110,2.005,0.0111,-458.068564,-458.282834,0.42854,0.403565215
OG0007112,1.3529,0.0092,-1098.252562,-1098.343961,0.182798,0.456326745
OG0007113,0.0722,0.0692,-1601.77066,-1615.04525,26.54918,8.59E-07
OG0007114,0.9166,0.1697,-595.311989,-595.333158,0.042338,0.489526745
OG0007115,0.1919,0.0812,-796.249732,-801.235816,9.972168,0.003416184
OG0007116,0.1526,0.0293,-1286.709718,-1290.593952,7.768468,0.010281787
OG0007117,0.0311,0.0838,-799.234667,-811.070725,23.672116,3.62E-06
OG0007118,0.0462,0.0275,-1363.693282,-1369.247587,11.10861,0.001935379
OG0007119,0.712,0.0327,-1431.336805,-1431.611884,0.550158,0.37975606
OG0007120,0.0993,0.0208,-884.910502,-887.205394,4.589784,0.050386138
OG0007121,0.7561,0.0352,-475.884593,-475.956476,0.143766,0.465319887
OG0007122,0.0595,0.0589,-1055.546106,-1063.182295,15.272378,0.000241332
OG0007123,0.001,0,-315.589962,-315.590009,9.40E-05,0.499976501
OG0007125,0.001,0.029,-769.670673,-774.105472,8.869598,0.005928725
OG0007126,0.2859,0.0309,-2088.933346,-2092.701236,7.53578,0.011550377
OG0007127,0.0896,0.0284,-714.212998,-716.770431,5.114866,0.038751718
OG0007128,0.2656,0.3635,-667.979314,-676.875412,17.792196,6.85E-05
OG0007129,0.001,0.0285,-749.869078,-754.99323,10.248304,0.002975631
OG0007130,0.4305,0.0372,-896.514001,-897.524803,2.021604,0.181963497
OG0007131,0.6565,0.0576,-405.245835,-405.438273,0.384876,0.412472732
OG0007132,0.1338,0.0655,-472.947132,-476.295672,6.69708,0.017567807
OG0007133,0.001,0.0315,-728.104818,-733.335043,10.46045,0.00267616
OG0007134,0.1664,0.0469,-705.162133,-707.805987,5.287708,0.035543386
OG0007135,0.001,0.038,-683.917112,-690.001282,12.16834,0.001139327
OG0007136,0.1774,0.025,-1157.36687,-1159.563994,4.394248,0.055561143
OG0007137,0.2944,0.0052,-1155.578305,-1155.901667,0.646724,0.361855912
OG0007139,0.0352,0.075,-1404.7105,-1422.22758,35.03416,1.23E-08
OG0007140,0.2196,0.0346,-1664.036305,-1668.757733,9.442856,0.004451228
OG0007141,0.3508,0.0168,-876.274895,-876.805035,1.06028,0.294261285
OG0007142,0.05,0.0412,-933.337786,-939.587983,12.500394,0.000965037
OG0007143,0.1003,0.0525,-1091.250704,-1097.465144,12.42888,0.001000168
OG0007144,0.2271,0,-489.993905,-489.993984,0.000158,0.499960502
OG0007145,0.001,0.0175,-1001.85788,-1005.910253,8.104746,0.00869054
OG0007146,0.8011,0.0173,-1971.275079,-1971.366839,0.18352,0.456162041
OG0007147,0.0895,0.0585,-1573.829616,-1582.402655,17.146078,9.46E-05
OG0007148,0.0997,0.0583,-683.329256,-688.079166,9.49982,0.004326237
OG0007149,0.001,0.0394,-2160.96943,-2179.981652,38.024444,2.77E-09
OG0007150,0.3464,0.0204,-535.723594,-536.218315,0.989442,0.304870501
OG0007151,0.954,0.0813,-342.079357,-342.082313,0.005912,0.498524182
OG0007152,0.04,0.0387,-1256.123517,-1264.77714,17.307246,8.72E-05
OG0007153,0.1755,0.0171,-628.50914,-629.553513,2.088746,0.1759562
OG0007154,0.0991,0.0738,-791.735911,-797.710446,11.94907,0.001271342
OG0007156,0.4533,0.0874,-702.026977,-703.067083,2.080212,0.176708609
OG0007157,0.4221,0.0073,-1290.529418,-1290.870817,0.682798,0.355387626
OG0007158,0.372,1.1824,-466.35002,-469.918573,7.137106,0.014098312
OG0007159,0.1042,0.0264,-736.472985,-739.058846,5.171722,0.037665596
OG0007160,0.3007,0.017,-793.580437,-794.430057,1.69924,0.21378869
OG0007161,0.001,0.0318,-1955.727165,-1969.324264,27.194198,6.22E-07
OG0007162,0.1539,0.0477,-1419.069453,-1425.137898,12.13689,0.001157385
OG0007163,0.139,0.0124,-3317.17227,-3321.821629,9.298718,0.004783866
OG0007164,1.1388,0.0424,-1088.318889,-1088.362182,0.086586,0.478815382
OG0007165,0.001,0.0092,-1802.703541,-1806.593583,7.780084,0.010222244
OG0007166,0.387,0.0437,-896.801572,-898.053472,2.5038,0.142980477
OG0007167,0.1379,0.0202,-729.240318,-730.912413,3.34419,0.09392655
OG0007168,0.1386,0.0323,-1281.998929,-1286.312212,8.626566,0.00669476
OG0007169,0.199,0.0738,-467.570711,-470.506533,5.871644,0.026543532
OG0007170,0.2624,0.0287,-540.561754,-541.600398,2.077288,0.176967146
OG0007171,0.001,0.0452,-420.044829,-424.197931,8.306204,0.007857796
OG0007172,0.5301,0.0228,-962.075456,-962.51844,0.885968,0.32105874
OG0007173,0.0458,0.0607,-731.821736,-739.202123,14.760774,0.00031168
OG0007174,0.0616,6.389,-727.470976,-752.190657,49.439362,9.19E-12
OG0007176,0.0288,0.0659,-1069.555852,-1082.533991,25.956278,1.16E-06
OG0007177,0.1367,5.2695,-1397.67664,-1415.931846,36.510412,5.90E-09
OG0007178,1.1692,0.0701,-583.072551,-583.113305,0.081508,0.480032638
OG0007179,0.1174,0.0191,-852.433965,-854.488974,4.110018,0.064045841
OG0007180,0.5215,0.0236,-562.550759,-562.768641,0.435764,0.402110167
OG0007181,0.2424,0.0296,-1402.446315,-1405.382428,5.872226,0.026535809
OG0007182,0.0618,0.0141,-4491.000675,-4501.599895,21.19844,1.25E-05
OG0007183,0.001,0.045,-615.610756,-621.938976,12.65644,0.000892604
OG0007184,0.0863,0.0391,-1221.021426,-1228.133324,14.223796,0.000407673
OG0007185,0.2305,0.0371,-1975.87287,-1980.636449,9.527158,0.004267504
OG0007186,0.1404,0.0433,-863.46684,-866.910508,6.887336,0.015973644
OG0007187,0.1719,0.0559,-1174.652762,-1180.150522,10.99552,0.002047968
OG0007188,0.7373,0.0121,-438.905252,-438.933564,0.056624,0.486042514
OG0007189,0.001,0.0373,-816.364654,-822.645249,12.56119,0.000936143
OG0007190,0.001,0.0206,-156.562872,-157.490506,1.855268,0.197744165
OG0007192,0.6527,0.1588,-1536.974717,-1538.101991,2.254548,0.161957523
OG0007193,0.2204,0.0366,-697.612745,-699.28009,3.33469,0.094373763
OG0007194,0.7701,0.0363,-577.445372,-577.509607,0.12847,0.468892297
OG0007195,0.1294,0.0871,-763.895641,-770.994467,14.197652,0.000413037
OG0007196,0.001,0.0306,-1613.065818,-1624.236813,22.34199,7.04E-06
OG0007197,0.4571,0.0415,-844.45073,-845.498003,2.094546,0.175446666
OG0007202,0.064,0.0487,-652.626701,-657.486771,9.72014,0.003874971
OG0007203,0.4401,0.0397,-824.599286,-825.544466,1.89036,0.194304807
OG0007205,0.2187,0.0248,-708.177233,-709.500679,2.646892,0.133108169
OG0007206,0.4131,0.033,-574.270859,-574.878572,1.215426,0.272297467
OG0007207,0.5038,0,-537.314919,-537.314928,1.80E-05,0.4999955
OG0007208,0.2745,0.0318,-520.607988,-521.783945,2.351914,0.154261791
OG0007209,0.0726,0.0528,-3017.076082,-3038.779024,43.405884,1.88E-10
OG0007210,0.001,0.016,-1226.822096,-1231.445482,9.246772,0.004909745
OG0007211,0.7259,0.0156,-1129.381311,-1129.481233,0.199844,0.452453999
OG0007212,0.001,0.0199,-446.918759,-449.39339,4.949262,0.042097026
OG0007213,0.1451,0.0286,-547.297488,-549.229896,3.864816,0.072399551
OG0007214,0.001,0.0281,-455.317203,-458.591768,6.54913,0.018916662
OG0007216,1.382,0.0042,-1304.787457,-1304.830932,0.08695,0.478728245
OG0007217,0.1891,0.0419,-1249.603942,-1254.005142,8.8024,0.006131308
OG0007218,0.001,0.0061,-653.458962,-654.519777,2.12163,0.173086782
OG0007219,0.1586,0.0402,-820.176647,-822.76792,5.182546,0.0374623
OG0007220,0.066,0.0849,-282.640778,-284.974565,4.667574,0.048463992
OG0007221,0.1009,0.0443,-851.520182,-856.023282,9.0062,0.005537306
OG0007222,0.0434,0.014,-2768.116594,-2773.837697,11.442206,0.001638048
OG0007223,0.0062,70.784,-1439.595317,-1491.095123,102.999612,2.15E-23
OG0007225,0.4798,0.0474,-1167.798269,-1169.026632,2.456726,0.146385726
OG0007226,1.0907,0.1006,-587.880986,-587.901254,0.040536,0.489968008
OG0007227,0.5082,0.1577,-1675.187265,-1678.497032,6.619534,0.018262342
OG0007228,0.1432,0.0243,-527.043945,-528.268213,2.448536,0.146986405
OG0007230,0.1315,0.0276,-1333.885689,-1336.899749,6.02812,0.02454598
OG0007232,0.9186,0.142,-1087.79037,-1087.825333,0.069926,0.482820572
OG0007233,0.7562,0.0233,-769.839254,-769.90841,0.138312,0.466590546
OG0007234,0.2785,0.0139,-650.911836,-651.279093,0.734514,0.346315808
OG0007235,0.001,0.019,-614.20201,-617.316054,6.228088,0.022210477
OG0007236,0.2999,0.0319,-913.822444,-915.035661,2.426434,0.14861976
OG0007237,0.001,0.0264,-511.314986,-514.758489,6.887006,0.01597628
OG0007238,0.1256,0.0194,-797.998145,-799.810559,3.624828,0.081629776
OG0007239,0.0998,0.1416,-931.849526,-944.646066,25.59308,1.39E-06
OG0007240,0.001,0.0284,-496.686174,-500.279102,7.185856,0.01375882
OG0007241,0.9484,0.0329,-686.377217,-686.380102,0.00577,0.498559579
OG0007242,0.1085,0.0463,-1123.064317,-1129.108774,12.088914,0.001185484
OG0007243,0.3675,0.0201,-537.465711,-537.92444,0.917458,0.316043259
OG0007244,0.3468,0.0397,-1164.135757,-1166.144351,4.017188,0.067088598
OG0007245,0.3282,0.0401,-492.111144,-493.113072,2.003856,0.183585426
OG0007246,0.001,0.0504,-1196.832603,-1209.64577,25.626334,1.36E-06
OG0007247,0.0836,0.0464,-992.694245,-998.711363,12.034236,0.001218341
OG0007248,2.4819,0.0165,-450.368245,-451.084437,1.432384,0.244304671
OG0007249,0.0103,60.1808,-1821.639172,-1869.229335,95.180326,1.07E-21
OG0007252,0.2685,0.0555,-803.139668,-805.727444,5.175552,0.037593535
OG0007253,0.1292,0.0475,-824.105069,-827.931167,7.652196,0.010897246
OG0007254,0.3362,0.0217,-790.179444,-790.969317,1.579746,0.226951219
OG0007255,0.5135,0.0562,-611.905235,-612.603083,1.395696,0.248827553
OG0007257,0.4529,0.0094,-1288.141519,-1288.480661,0.678284,0.356190642
OG0007258,0.5327,0.8985,-647.719223,-650.048562,4.658678,0.04868004
OG0007259,0.0799,0.0367,-716.335527,-720.564398,8.457742,0.007284415
OG0007260,0.0493,0.0562,-702.668331,-709.151084,12.965506,0.000764797
OG0007261,0.2524,0.0344,-3277.661681,-3285.234166,15.14497,0.000257206
OG0007262,0.0141,11.6349,-1208.082416,-1325.224091,234.28335,6.68E-52
OG0007263,0.2108,0.0483,-762.172826,-764.8446,5.343548,0.03456474
OG0007264,0.001,0.0142,-454.709991,-456.349671,3.27936,0.097021063
OG0007266,0.2769,0.0558,-883.763196,-886.23247,4.938548,0.042323145
OG0007267,0.2067,0.0303,-988.187288,-990.738556,5.102536,0.038991361
OG0007268,0.4391,0.0373,-480.042331,-480.412626,0.74059,0.345265297
OG0007269,0.4649,0.0309,-680.119429,-680.685548,1.132238,0.283862254
OG0007270,0.293,0.8261,-664.244606,-671.862219,15.235226,0.000245857
OG0007271,0.4418,0.0452,-1121.615828,-1122.826366,2.421076,0.149018446
