Orthogroup	CRCR_fixednames	CRFI_fixednames
OG0016665	CRCR_TRINITY_DN10000_c0_g1__TRINITY_DN10000_c0_g1_i1__g.16653__m.16653	
OG0016666	CRCR_TRINITY_DN10000_c0_g1__TRINITY_DN10000_c0_g1_i1__g.16652__m.16652	
OG0016667	CRCR_TRINITY_DN100068_c0_g1__TRINITY_DN100068_c0_g1_i1__g.910__m.910	
OG0016668	CRCR_TRINITY_DN100252_c0_g1__TRINITY_DN100252_c0_g1_i1__g.536__m.536	
OG0016669	CRCR_TRINITY_DN100262_c0_g2__TRINITY_DN100262_c0_g2_i1__g.542__m.542	
OG0016670	CRCR_TRINITY_DN100277_c0_g1__TRINITY_DN100277_c0_g1_i1__g.534__m.534	
OG0016671	CRCR_TRINITY_DN100283_c0_g1__TRINITY_DN100283_c0_g1_i1__g.535__m.535	
OG0016672	CRCR_TRINITY_DN100288_c0_g1__TRINITY_DN100288_c0_g1_i1__g.538__m.538	
OG0016673	CRCR_TRINITY_DN100300_c0_g1__TRINITY_DN100300_c0_g1_i1__g.541__m.541	
OG0016674	CRCR_TRINITY_DN10030_c0_g1__TRINITY_DN10030_c0_g1_i1__g.16642__m.16642	
OG0016675	CRCR_TRINITY_DN100339_c0_g1__TRINITY_DN100339_c0_g1_i1__g.552__m.552	
OG0016676	CRCR_TRINITY_DN100425_c0_g1__TRINITY_DN100425_c0_g1_i1__g.1070__m.1070	
OG0016677	CRCR_TRINITY_DN100679_c0_g1__TRINITY_DN100679_c0_g1_i1__g.77__m.77	
OG0016678	CRCR_TRINITY_DN100747_c0_g1__TRINITY_DN100747_c0_g1_i1__g.198__m.198	
OG0016679	CRCR_TRINITY_DN100763_c0_g1__TRINITY_DN100763_c0_g1_i1__g.200__m.200	
OG0016680	CRCR_TRINITY_DN100794_c0_g1__TRINITY_DN100794_c0_g1_i1__g.203__m.203	
OG0016681	CRCR_TRINITY_DN10081_c0_g1__TRINITY_DN10081_c0_g1_i1__g.16650__m.16650	
OG0016682	CRCR_TRINITY_DN10082_c0_g1__TRINITY_DN10082_c0_g1_i1__g.16645__m.16645	
OG0016683	CRCR_TRINITY_DN100837_c0_g1__TRINITY_DN100837_c0_g1_i1__g.563__m.563	
OG0016684	CRCR_TRINITY_DN100890_c0_g1__TRINITY_DN100890_c0_g1_i1__g.568__m.568	
OG0016685	CRCR_TRINITY_DN100893_c0_g1__TRINITY_DN100893_c0_g1_i1__g.567__m.567	
OG0016686	CRCR_TRINITY_DN100911_c0_g1__TRINITY_DN100911_c0_g1_i1__g.610__m.610	
OG0016687	CRCR_TRINITY_DN100917_c0_g1__TRINITY_DN100917_c0_g1_i1__g.612__m.612	
OG0016688	CRCR_TRINITY_DN101131_c0_g1__TRINITY_DN101131_c0_g1_i1__g.1041__m.1041	
OG0016689	CRCR_TRINITY_DN10114_c0_g1__TRINITY_DN10114_c0_g1_i1__g.55359__m.55359	
OG0016690	CRCR_TRINITY_DN101158_c0_g1__TRINITY_DN101158_c0_g1_i1__g.1043__m.1043	
OG0016691	CRCR_TRINITY_DN101203_c0_g1__TRINITY_DN101203_c0_g1_i1__g.724__m.724	
