OrthoGroup	lnL
OG0007042	-461.900551
OG0007044	-811.764153
OG0007045	-846.091709
OG0007046	-382.870914
OG0007047	-602.979226
OG0007048	-429.367907
OG0007049	-768.556799
OG0007050	-713.596945
OG0007051	-519.068336
OG0007052	-988.982846
OG0007053	-1398.774201
OG0007055	-498.561821
OG0007056	-3125.213375
OG0007057	-550.98614
OG0007058	-1058.794401
OG0007059	-484.081216
OG0007060	-1006.842552
OG0007061	-952.191548
OG0007062	-1557.841153
OG0007063	-857.255597
OG0007064	-1347.814023
OG0007065	-764.997571
OG0007066	-625.524362
OG0007067	-834.442694
OG0007068	-1053.845134
OG0007069	-670.145886
OG0007070	-728.512099
OG0007071	-3299.859843
OG0007072	-2293.613169
OG0007074	-481.661661
OG0007075	-1144.01634
OG0007076	-743.860429
OG0007077	-561.04547
OG0007078	-812.616648
OG0007079	-941.876344
OG0007081	-917.27817
OG0007082	-1202.762518
OG0007083	-686.006622
OG0007084	-416.211732
OG0007085	-2466.153838
OG0007086	-832.02403
OG0007087	-594.293622
OG0007088	-845.429732
OG0007089	-777.482911
OG0007090	-988.267249
OG0007091	-1564.138903
OG0007092	-3378.688775
OG0007093	-805.992408
OG0007095	-708.784329
OG0007096	-646.760242
OG0007097	-769.933458
OG0007098	-1062.16515
OG0007099	-504.4147
OG0007100	-675.477651
OG0007101	-461.138608
OG0007102	-891.983572
OG0007104	-2380.621089
OG0007105	-770.962361
OG0007106	-1141.653051
OG0007107	-870.443243
OG0007108	-2595.807278
OG0007110	-458.068564
OG0007112	-1098.252562
OG0007113	-1601.77066
OG0007114	-595.311989
OG0007115	-796.249732
OG0007116	-1286.709718
OG0007117	-799.234667
OG0007118	-1363.693282
OG0007119	-1431.336805
OG0007120	-884.910502
OG0007121	-475.884593
OG0007122	-1055.546106
OG0007123	-315.589962
OG0007125	-769.670673
OG0007126	-2088.933346
OG0007127	-714.212998
OG0007128	-667.979314
OG0007129	-749.869078
OG0007130	-896.514001
OG0007131	-405.245835
OG0007132	-472.947132
OG0007133	-728.104818
OG0007134	-705.162133
OG0007135	-683.917112
OG0007136	-1157.36687
OG0007137	-1155.578305
OG0007139	-1404.7105
OG0007140	-1664.036305
OG0007141	-876.274895
OG0007142	-933.337786
OG0007143	-1091.250704
OG0007144	-489.993905
OG0007145	-1001.85788
OG0007146	-1971.275079
OG0007147	-1573.829616
OG0007148	-683.329256
OG0007149	-2160.96943
OG0007150	-535.723594
OG0007151	-342.079357
OG0007152	-1256.123517
OG0007153	-628.50914
OG0007154	-791.735911
OG0007156	-702.026977
OG0007157	-1290.529418
OG0007158	-466.35002
OG0007159	-736.472985
OG0007160	-793.580437
OG0007161	-1955.727165
OG0007162	-1419.069453
OG0007163	-3317.17227
OG0007164	-1088.318889
OG0007165	-1802.703541
OG0007166	-896.801572
OG0007167	-729.240318
OG0007168	-1281.998929
OG0007169	-467.570711
OG0007170	-540.561754
OG0007171	-420.044829
OG0007172	-962.075456
OG0007173	-731.821736
OG0007174	-727.470976
OG0007176	-1069.555852
OG0007177	-1397.67664
OG0007178	-583.072551
OG0007179	-852.433965
